id;customer_code;customer_name;customer_limit;is_active
1;program Refined Granite Gloves;quantifying Baby;59626;false
2;Connecticut;Unbranded Tugrik;33987;false
3;streamline Kansas haptic;bluetooth policy;62589;true
4;e-commerce SSL web-readiness;JBOD Books;87470;false
5;matrix Data;Supervisor;35071;false
6;Fantastic Sleek Granite Tuna Utah;Coordinator;76827;false
7;killer Russian Federation;Adaptive Practical B2C;28723;true
8;program;Gorgeous Steel Salad Associate;42777;false
9;whiteboard Concrete;Data open-source Generic;41758;true
10;XSS Investment Account Investor;Fish Associate Intuitive;94273;true
